Thumb,Index,Middle,Ring,Pinky
-0.9279455184740114,-1.0198022968220886,-0.9003341524341862,-0.9013537226583209,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.8751883920043142,-0.9013537226583209,-0.9705735847045944
-0.9279455184740114,-1.0198022968220886,-0.9003341524341862,-0.9013537226583209,-0.9460634784305572
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.8751883920043142,-0.875798480804699,-0.9705735847045944
-0.9118179802541637,-0.9802886801397147,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0198022968220886,-0.9003341524341862,-0.8502432389510771,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.875798480804699,-0.9460634784305572
-0.9279455184740114,-1.0198022968220886,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.9013537226583209,-0.8970432658824828
-0.9118179802541637,-1.0000454884809016,-0.8751883920043142,-0.9013537226583209,-0.9705735847045944
-0.9118179802541637,-1.0198022968220886,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9118179802541637,-1.0198022968220886,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0198022968220886,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0198022968220886,-0.8751883920043142,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.9013537226583209,-0.9705735847045944
-0.9118179802541637,-1.0000454884809016,-0.9003341524341862,-0.9013537226583209,-0.9460634784305572
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0198022968220886,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.8751883920043142,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0198022968220886,-0.9003341524341862,-0.875798480804699,-0.9460634784305572
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
-0.9279455184740114,-1.0000454884809016,-0.9003341524341862,-0.875798480804699,-0.9705735847045944
